termo,definicion
ab-,"Prefixo, abreviación de absoluto, engadido a certas unidades eléctricas para dar nome ás correspondentes unidades do sistema electromagnético ou absoluto como, p.e., o abcoulomb, abvolt ou abfarad. V. stat-; c.g.s."
"Abbe, invariante de","En óptica, e para o caso dunha superficie esférica de radio r, que separa dous medios transparentes de distinto índice de refracción (n e n'), cada un dos dous membros da igualdadeonde s e s' son as respectivas distancias do obxecto, e da súa imaxe, á superficie de separación. A ecuación cúmprese, é dicir, o termo é invariante sempre que os feixes de luz que interveñen na formación da imaxe sexan próximos ao eixe óptico. V. dioptrio; lente; zona paraxial; Gauss, fórmula de."
"Abbe, invariante de","En óptica, e para o caso dunha superficie esférica de radio r, que separa dous medios transparentes de distinto índice de refracción (n e n'), cada un dos dous membros da igualdadeonde s e s' son as respectivas distancias do obxecto e da súa imaxe, á superficie de separación. A ecuación cúmprese na aproximación paraxial. Para un espello esférico redúcese á ecuación máis sinxela:.V. dioptrio; lente; zona paraxial; Gauss, fórmula de. [SUBSTITÚE OUTRO]."
"Abbe, número de","Sb.. Número que caracteriza o comportamento dispersivo dun material en función dos índices de refracción do mesmo para as lonxitudes de onda correspondentes ás liñas espectrais d (587,6 nm); F (486,1 nm, e C (656,3 nm). Vén dado pola ecuación:."
abeliano,Conmutativo.
aberración,"En astronomía, fenómeno, debido aos diferentes movementos da Terra e á finitude da velocidade da luz, polo que a luz, procedente dun astro, parece vir dun punto lixeiramente desprazado do que sería a verdadeira posición do astro.0figura0."
aberración,"En óptica, defectos da imaxe formada por unha lente ou por un espello. V. aberración cromática; aberracións xeométricas; sistemas ópticos."
aberración ánua,Aberración da luz debida ao movemento de translación da Terra arredor do Sol que obriga a efectuar unha corrección nas coordenadas ecuatoriais dun astro. Tamén chamada aberración anual.
aberración cromática,"Aberración que se dá nas lentes debido a que o índice de refracción dos medios materiais varía segundo a lonxitude de onda da radiación luminosa, variando así o ángulo de refracción para cada feixe constituinte dunha luz composta, como a branca. Como consecuencia a imaxe vese coa beira coloreada. Para evitar este tipo de aberración empréganse lentes acromáticas."
aberracións xeométricas,"Posibles defectos da imaxe formada por un espello ou unha lente aínda cando se emprega luz monocromática. Na aberración esférica, presente en lentes e espellos esféricos, os raios procedentes do obxecto enfócanse en diferentes posicións debido á curvatura deses sistemas ópticos podendo verse nalgúns casos a imaxe rodeada dun círculo luminoso (aberración esférica transversal en espellos). Nas lentes danse, ademais, outros tipos de aberración xeométrica: o astigmatismo e coma, refírense, ao igual que a aberración esférica, á calidade do punto imaxe, mentres que a curvatura da imaxe e a distorsión, se refiren á posición do punto imaxe. V. sistemas ópticos; estigmatismo."
abertura,"Diámetro do obxectivo ou do espello principal dun telescopio. Da abertura do obxectivo dependen o poder separador do telescopio e a cantidade de luz que pode recoller o mesmo, mellorando eses dous parámetros canto maior sexa a abertura do telescopio."
abscisa,V. coordenadas cartesianas.
absorbancia,"Sb. A. Parámetro que caracteriza a absorción de enerxía dunha determinada radiación ao atravesar un medio material transparente. Exprésase como o logaritmo decimal do inverso da transmitancia do devandito medio. Para o caso dunha disolución, a absorbancia depende directamente da molaridade da mesma, M, e da distancia percorrida ao seu través, x, tal como indica a lei de Beer:A constante de proporcionalidade nesta expresión, , é o chamado coeficiente de extinción molar. Determinada a absorbancia da disolución por fotocolorimetría, e coñecido o espesor x, así como o valor do coeficiente de extinción molar nesas condicións, pódese determinar a concentración desa disolución, resultando de gran utilidade na análise química. A absorbancia tamén recibe o nome de extinción. V. absortancia."
absorción,Forma de amortecemento dunha onda que supón unha diminución da intensidade da mesma ao desprazarse por un medio material debido as perdas de enerxía por rozamento e outras interaccións coas partículas do devandito medio. En xeral a intensidade transmitida pola onda que se propaga nun medio absorbente decrece exponencialmente co grosor segundo a lei de Lambert.
absorción,"Termo que recolle diversos procesos físico-químicos nos que unha substancia retén a outra, como a retención dun gas por un líquido ou a dun fluído por un sólido. Afecta a todo o volume do corpo, a diferencia da adsorción que é superficial. absorción atómica Técnica instrumental empregada para a análise química cuantitativa dos elementos dunha mostra, baseada na análise espectral. Nun aparello vaporízase a mostra e os vapores obtidos interpóñense no camiño dun feixe de luz, recolléndose a luz emerxente nun detector. Para cada elemento químico existen diferentes lonxitudes de onda características de especial absorción, para as que a diminución da súa intensidade luminosa se relaciona matematicamente coa concentración dese elemento na mostra problema. V. Beer, lei de; absorbancia."
absortancia,"Sb.. Fracción da radiación total incidente sobre un corpo que é absorbida polo mesmo. Por definición, a absortancia dun corpo negro é a unidade. V. factor de absorción; absorbancia; transmitancia; Lambert, lei de."
absortividade,Coeficiente de extinción.
abundancia relativa,"Proporción que dun elemento ou composto se atopa nunha determinada mostra ou rexión, respecto doutro tomado como referencia."
abundancia relativa,"En física nuclear, porcentaxe de cada isótopo dun mesmo elemento químico que se atopa nunha mostra."
acción,"Magnitude física empregada na mecánica introducida por P.L. Maupertius (1698-1759) que expresa, en termos actuais, o producto do momento lineal dun móbil polo seu desprazamento, S = mvd. Tal expresión resulta equivalente ao producto dunha enerxía por un tempo, empregándose na mecánica analítica, para expresar a acción dun sistema, con enerxía cinética T e nun campo conservativo de enerxía potencial U, a ecuaciónNo SI exprésase en J·s.A constante de Planck, h, de emprego xeneralizado na mecánica cuántica, é un exemplo de acción. V. principio de mínima acción; Maupertius, principio de; Hamilton, principio de."
